STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,OBS_VALUE,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAR,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2018,10.811810015690105,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Early-demographic dividend,"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAS,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2018,2.066724530444417,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,East Asia & Pacific,"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAP,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2018,2.07308351343302,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,East Asia & Pacific (excluding high income),"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TEA,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2018,2.089087123997029,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,East Asia & Pacific (IDA & IBRD),"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VEN,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2009,2.95,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,"Venezuela, RB","Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VNM,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2009,0.36,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Vietnam,"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2009,42.07,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,"Yemen, Rep.","Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2009,166.78,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Zambia,"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2009,73.82,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Zimbabwe,"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2010,200.62224163728752,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Eastern & Southern Africa,"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
